辞書,文境界,キー（＝表層形）,語彙素,語彙素細分類,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
現代語,B,﻿,,,,補助記号,,,,,,,,　
現代語,I,第,第,,ダイ,接頭辞,,,ダイ,ダイ,漢,第,ダイ,22937
現代語,I,一,一,,イチ,名詞-数詞,,,イチ,イチ,漢,一,イチ,2050
現代語,I,章,章,,ショウ,名詞-普通名詞-一般,,,ショー,ショウ,漢,章,ショウ,16559
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,者,者,,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,日常,日常,,ニチジョウ,名詞-普通名詞-副詞可能,,,ニチジョー,ニチジョウ,漢,日常,ニチジョウ,28389
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,者,者,,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
現代語,I,なり,なり,断定,ナリ,助動詞,文語助動詞-ナリ-断定,終止形-一般,ナリ,ナリ,和,なり,ナリ,28039
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,中学,中学,,チュウガク,名詞-普通名詞-一般,,,チューガク,チュウガク,漢,中学,チュウガク,23770
現代語,I,二,二,,ニ,名詞-数詞,,,ニ,ニ,漢,二,ニ,28181
現代語,I,年,年,,ネン,名詞-普通名詞-助数詞可能,,,ネン,ネン,漢,年,ネン,28927
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,十,十,,ジュウ,名詞-数詞,,,ジュー,ジュウ,漢,十,ジュウ,18157
現代語,I,四,四,,ヨン,名詞-数詞,,,ヨン,ヨン,和,四,ヨン,39551
現代語,I,歳,歳,,サイ,接尾辞-名詞的-助数詞,,,サイ,サイ,漢,歳,サイ,13634
